cell,ecc,ep,frame,mass,mov_name,nucleus,particle,pid,raw_mass,signal,size,strain,x,y,corrwideal,gene,date
2,0.2822678927503564,0.006586602019918978,0,292.70964815732793,08152019_TL47_19,0,15710,08152019_TL47_19_15710_0,3294.0,66.90273939315264,0.8783145836014156,TL47,180.96085553727485,189.00677335954362,0.8451946717289064,gal10,08152019
4,0.3444940552879085,0.004945107444612488,0,395.3997554861278,08152019_TL47_19,4,17824,08152019_TL47_19_17824_0,4168.0,92.1358984173346,0.8757741637852833,TL47,781.0079642518193,214.0909996836444,0.8572139811523387,gal10,08152019
5,0.2756835637438451,0.008145867947483287,0,262.6981687726366,08152019_TL47_19,5,20295,08152019_TL47_19_20295_0,2790.0,59.1192057692601,0.8803146436322331,TL47,363.04900898756034,244.0064162847449,0.9277561903296326,gal10,08152019
6,0.2761880231773833,0.006611713151895288,0,318.06476692893125,08152019_TL47_19,6,20730,08152019_TL47_19_20730_0,3284.0,75.23978263995758,0.8737534486217884,TL47,787.062216104611,249.01828728738568,0.8601266175726868,gal10,08152019
7,0.30070498914891697,0.008843735936493279,0,239.81038950655807,08152019_TL47_19,7,24233,08152019_TL47_19_24233_0,2622.0,55.282164485002916,0.8771975396474976,TL47,782.9502255952847,290.03519547244616,0.8304747853112568,gal10,08152019
8,0.18601056830372376,0.011432179000616927,0,194.41634608171918,08152019_TL47_19,0,33181,08152019_TL47_19_33181_0,2178.0,44.69042949740789,0.877570674031567,TL47,1284.0303522599327,396.01164548817763,0.9045815514893694,gal10,08152019
9,0.29739209736844396,0.003758662587293721,0,452.58324116169996,08152019_TL47_19,9,38417,08152019_TL47_19_38417_0,5275.0,95.96668535557018,0.8876699467163696,TL47,525.9934496911405,459.0163757721488,0.8471696302846141,gal10,08152019
12,0.2645658346110173,0.007865100909200073,0,274.46884798530493,08152019_TL47_19,12,55120,08152019_TL47_19_55120_0,2866.0,62.99690030265776,0.8777682198079231,TL47,443.0136836468457,655.9396711823081,0.9113650087909871,gal10,08152019
11,0.26974489481305314,0.0023070961141823296,0,915.1890718230286,08152019_TL47_19,0,56010,08152019_TL47_19_56010_0,8178.0,204.9392832630765,0.8809477359287073,TL47,1122.9755208315537,665.9514585333684,0.8349206974856026,gal10,08152019
15,0.33939908750677017,0.004206276428728536,0,463.5127108344618,08152019_TL47_19,0,61370,08152019_TL47_19_61370_0,4784.0,106.41144321165741,0.8777379415577868,TL47,163.0168869458444,729.0553632751096,0.8978545407340314,gal10,08152019
