mov_name,date,strain,num_spots,frac_cells
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_7_w2GFPlow,3052019,yQC21,9,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_8_w2GFPlow,3052019,yQC21,1,0.9745222929936306
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_8_w2GFPlow,3052019,yQC21,2,0.01910828025477707
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_8_w2GFPlow,3052019,yQC21,3,0.006369426751592357
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_8_w2GFPlow,3052019,yQC21,4,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_8_w2GFPlow,3052019,yQC21,5,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_8_w2GFPlow,3052019,yQC21,6,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_8_w2GFPlow,3052019,yQC21,7,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_8_w2GFPlow,3052019,yQC21,8,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_8_w2GFPlow,3052019,yQC21,9,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_9_w2GFPlow,3052019,yQC21,1,0.9683544303797469
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_9_w2GFPlow,3052019,yQC21,2,0.03164556962025317
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_9_w2GFPlow,3052019,yQC21,3,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_9_w2GFPlow,3052019,yQC21,4,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_9_w2GFPlow,3052019,yQC21,5,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_9_w2GFPlow,3052019,yQC21,6,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_9_w2GFPlow,3052019,yQC21,7,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_9_w2GFPlow,3052019,yQC21,8,0.0
03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_9_w2GFPlow,3052019,yQC21,9,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_10_w2GFPlow,3272019,TL47pQC116,1,0.75
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_10_w2GFPlow,3272019,TL47pQC116,2,0.203125
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_10_w2GFPlow,3272019,TL47pQC116,3,0.046875
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_10_w2GFPlow,3272019,TL47pQC116,4,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_10_w2GFPlow,3272019,TL47pQC116,5,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_10_w2GFPlow,3272019,TL47pQC116,6,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_10_w2GFPlow,3272019,TL47pQC116,7,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_10_w2GFPlow,3272019,TL47pQC116,8,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_10_w2GFPlow,3272019,TL47pQC116,9,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_11_w2GFPlow,3272019,TL47pQC116,1,0.8260869565217391
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_11_w2GFPlow,3272019,TL47pQC116,2,0.17391304347826086
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_11_w2GFPlow,3272019,TL47pQC116,3,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_11_w2GFPlow,3272019,TL47pQC116,4,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_11_w2GFPlow,3272019,TL47pQC116,5,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_11_w2GFPlow,3272019,TL47pQC116,6,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_11_w2GFPlow,3272019,TL47pQC116,7,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_11_w2GFPlow,3272019,TL47pQC116,8,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_11_w2GFPlow,3272019,TL47pQC116,9,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_12_w2GFPlow,3272019,TL47pQC116,1,0.8229166666666666
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_12_w2GFPlow,3272019,TL47pQC116,2,0.14583333333333334
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_12_w2GFPlow,3272019,TL47pQC116,3,0.03125
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_12_w2GFPlow,3272019,TL47pQC116,4,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_12_w2GFPlow,3272019,TL47pQC116,5,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_12_w2GFPlow,3272019,TL47pQC116,6,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_12_w2GFPlow,3272019,TL47pQC116,7,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_12_w2GFPlow,3272019,TL47pQC116,8,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_12_w2GFPlow,3272019,TL47pQC116,9,0.0
03272019_TL47pQC116_255u100%int480_150msExp_30-50minPosGal_13_w2GFPlow,3272019,TL47pQC116,1,0.7796610169491526
