time_postinduction,mov_name,strain,no_TS,no_cells,frac_active,thresh,rep,date,CTDr
36.816666666666656,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_10,yQC26,66,131,0.5038167938931297,4,10.0,05222019,101
36.91666666666666,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_9,yQC62,24,92,0.2608695652173913,4,9.0,05222019,10
37.15,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_9,yQC23,55,107,0.514018691588785,4,9.0,05222019,12
37.28333333333333,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_9,yQC23,133,222,0.5990990990990991,4,9.0,03052019,12
37.316666666666656,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_10,yQC22,34,112,0.30357142857142855,4,10.0,05222019,14
37.36666666666667,03132019_yQC62_255u100%int480_150msExp_30-50minPosGal_7,yQC62,22,94,0.23404255319148937,4,7.0,03132019,10
37.4,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_10,yQC63,3,114,0.02631578947368421,4,10.0,05222019,9
37.5,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_11,yQC21,75,106,0.7075471698113207,4,11.0,05232019,26
37.566666666666656,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_11,yQC26,50,102,0.49019607843137253,4,11.0,05222019,101
37.6,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_10,yQC62,29,98,0.29591836734693877,4,10.0,05222019,10
37.73333333333333,03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_8,yQC21,181,217,0.8341013824884793,4,8.0,03052019,26
37.833333333333336,03052019_yQC22_255u100%int480_150msExp_30-50minPosGal_7,yQC22,156,210,0.7428571428571429,4,7.0,03052019,14
37.86666666666667,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_10,yQC23,68,115,0.591304347826087,4,10.0,05222019,12
37.95,03062019_yQC26_255u100%int480_150msExp_30-50minPosGal_6,yQC26,30,51,0.5882352941176471,4,6.0,03062019,101
37.95,03272019_yQC63TL174_255u100%int480_150msExp_30-50minPosGal_7,yQC63,10,56,0.17857142857142858,4,7.0,03272019,9
38.083333333333336,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_12,yQC21,94,131,0.7175572519083969,4,12.0,05232019,26
38.1,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_10,yQC23,140,216,0.6481481481481481,4,10.0,03052019,12
38.13333333333333,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_11,yQC22,27,110,0.24545454545454545,4,11.0,05222019,14
38.266666666666666,05222019_yQC26_255u100%int480_150msExp_30-50minPosGal_12,yQC26,47,95,0.49473684210526314,4,12.0,05222019,101
38.45,03132019_yQC62_255u100%int480_150msExp_30-50minPosGal_8,yQC62,29,114,0.2543859649122807,4,8.0,03132019,10
38.55,05222019_yQC63_255u100%int480_150msExp_30-50minPosGal_11,yQC63,11,129,0.08527131782945736,4,11.0,05222019,9
38.63333333333333,05222019_yQC62_255u100%int480_150msExp_30-50minPosGal_11,yQC62,31,81,0.38271604938271603,4,11.0,05222019,10
38.75,05222019_yQC23_255u100%int480_150msExp_30-50minPosGal_11,yQC23,94,165,0.5696969696969697,4,11.0,05222019,12
38.8,05222019_yQC22_255u100%int480_150msExp_30-50minPosGal_12,yQC22,31,95,0.3263157894736842,4,12.0,05222019,14
38.9,03052019_yQC22_255u100%int480_150msExp_30-50minPosGal_8,yQC22,153,224,0.6830357142857143,4,8.0,03052019,14
38.91666666666666,03272019_yQC63TL174_255u100%int480_150msExp_30-50minPosGal_8,yQC63,6,63,0.09523809523809523,4,8.0,03272019,9
38.95,05232019_yQC21_255u100%int480_150msExp_30-50minPosGal_13,yQC21,103,151,0.6821192052980133,4,13.0,05232019,26
38.98333333333333,03052019_yQC21_255u100%int480_150msExp_30-45minPosGal_9,yQC21,197,245,0.8040816326530612,4,9.0,03052019,26
39.11666666666667,03062019_yQC26_255u100%int480_150msExp_30-50minPosGal_7,yQC26,22,39,0.5641025641025641,4,7.0,03062019,101
39.15,03052019_yQC23_255u100%int480_150msExp_30-50minPosGal_11,yQC23,134,214,0.6261682242990654,4,11.0,03052019,12
